pass	compression	q	error	size
0	2	0.001	-0.000148456	316
0	2	0.010	0.001011466	316
0	2	0.100	-0.117596717	316
0	2	0.500	0.229559429	316
0	5	0.001	-0.000199418	772
0	5	0.010	-0.006567059	772
0	5	0.100	-0.061562269	772
0	5	0.500	-0.033535920	772
0	10	0.001	0.000093372	1228
0	10	0.010	-0.000820262	1228
0	10	0.100	-0.022111532	1228
0	10	0.500	-0.003594411	1228
0	20	0.001	-0.000078154	2260
0	20	0.010	0.000191539	2260
0	20	0.100	0.002571561	2260
0	20	0.500	-0.013494593	2260
0	50	0.001	-0.000017821	5464
0	50	0.010	0.000545259	5464
0	50	0.100	0.000118066	5464
0	50	0.500	-0.002548085	5464
0	100	0.001	-0.000020151	10168
0	100	0.010	0.000092887	10168
0	100	0.100	-0.001259451	10168
0	100	0.500	-0.006576588	10168
0	200	0.001	-0.000017556	18976
0	200	0.010	-0.000148618	18976
0	200	0.100	0.000112937	18976
0	200	0.500	-0.001393742	18976
0	500	0.001	-0.000017556	42988
0	500	0.010	-0.000011965	42988
0	500	0.100	-0.000018586	42988
0	500	0.500	-0.000194056	42988
0	1000	0.001	-0.000017556	92248
0	1000	0.010	-0.000024735	92248
0	1000	0.100	0.000012747	92248
0	1000	0.500	0.000144777	92248
