dist	tag	x	Q	error
gamma	cdf	7.5691769e-30	0.00100000	0.00001041
gamma	quantile	7.5691769e-30	0.00100000	-0.00002000
gamma	cdf	5.6834377e-20	0.01000000	-0.00003366
gamma	quantile	5.6834377e-20	0.01000000	-0.00007000
gamma	cdf	6.1804535e-10	0.10000000	-0.00016097
gamma	quantile	6.1804535e-10	0.10000000	-0.00051000
gamma	cdf	0.0060382835	0.50000000	-0.00026187
gamma	quantile	0.0060382835	0.50000000	0.00212000
gamma	cdf	2.6434824	0.90000000	0.00009714
gamma	quantile	2.6434824	0.90000000	0.00086000
gamma	cdf	15.663046	0.99000000	-0.00001948
gamma	quantile	15.663046	0.99000000	0.00012000
gamma	cdf	33.996034	0.99900000	0.00000320
gamma	quantile	33.996034	0.99900000	-0.00008000
uniform	cdf	0.00090054601	0.00100000	-0.00000077
uniform	quantile	0.00090054601	0.00100000	-0.00006000
uniform	cdf	0.0097595810	0.01000000	0.00004558
uniform	quantile	0.0097595810	0.01000000	0.00004000
uniform	cdf	0.099643245	0.10000000	-0.00004198
uniform	quantile	0.099643245	0.10000000	0.00068000
uniform	cdf	0.50247741	0.50000000	0.00041474
uniform	quantile	0.50247741	0.50000000	-0.00010000
uniform	cdf	0.90010586	0.90000000	0.00002265
uniform	quantile	0.90010586	0.90000000	-0.00077000
uniform	cdf	0.98997987	0.99000000	-0.00001054
uniform	quantile	0.98997987	0.99000000	0.00001000
uniform	cdf	0.99911154	0.99900000	0.00000221
uniform	quantile	0.99911154	0.99900000	-0.00007000
mixture	cdf	-0.99565749	0.00100000	0.00000043
mixture	quantile	-0.99565749	0.00100000	-0.00002000
mixture	cdf	-0.96017538	0.01000000	-0.00005033
mixture	quantile	-0.96017538	0.01000000	0.00003000
mixture	cdf	-0.59910285	0.10000000	0.00018295
mixture	quantile	-0.59910285	0.10000000	-0.00055000
mixture	cdf	-1.2454951e-05	0.30000000	0.00013368
mixture	quantile	-1.2454951e-05	0.30000000	-0.00189000
mixture	cdf	5.2393746e-08	0.50000000	0.00051020
mixture	quantile	5.2393746e-08	0.50000000	0.00298000
mixture	cdf	1.2974000e-05	0.70000000	-0.00013264
mixture	quantile	1.2974000e-05	0.70000000	0.00137000
mixture	cdf	0.60719036	0.90000000	-0.00003374
mixture	quantile	0.60719036	0.90000000	0.00078000
mixture	cdf	0.96062338	0.99000000	0.00004204
mixture	quantile	0.96062338	0.99000000	0.00000000
mixture	cdf	0.99614436	0.99900000	0.00000522
mixture	quantile	0.99614436	0.99900000	-0.00002000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	-0.00002000
sequential	cdf	0.031431634	0.01000000	0.00000364
sequential	quantile	0.031431634	0.01000000	0.00007000
sequential	cdf	0.31417497	0.10000000	0.00005520
sequential	quantile	0.31417497	0.10000000	-0.00071000
sequential	cdf	1.5708120	0.50000000	0.00018117
sequential	quantile	1.5708120	0.50000000	-0.00010000
sequential	cdf	2.8274491	0.90000000	-0.00028148
sequential	quantile	2.8274491	0.90000000	-0.00084000
sequential	cdf	3.1101924	0.99000000	0.00000081
sequential	quantile	3.1101924	0.99000000	0.00000000
sequential	cdf	3.1384668	0.99900000	-0.00000143
sequential	quantile	3.1384668	0.99900000	-0.00001500
